City,Latitude,Temperature,Humidity,Clouds,Wind Speed
Pevek,69.7,258.28,72,0,0.74
Tuktoyaktuk,69.44,258.15,71,20,6.7
Iqaluit,63.75,258.15,77,40,7.7
Ushuaia,-54.81,277.15,69,8,3.1
Kapaa,22.08,299.33,74,1,3.6
Pastavy,55.11,283.5,95,100,5.06
Sheridan,39.65,282.32,52,1,2.6
Pochutla,15.74,299.66,69,5,1.77
Chokurdakh,70.62,252.9,95,70,2.47
Vaini,15.34,293.28,73,0,3.6
Wyszkow,52.59,279.5,93,90,2.6
Harper,30.3,285.94,76,1,4.86
Nanortalik,60.14,275.87,78,100,13.75
Sulangan,11.14,302.09,69,6,1.45
Punta Arenas,-53.16,278.9,60,1,7.7
Qaanaaq,77.48,252.55,42,0,2.6
Nioro,13.79,298.55,23,48,0.85
Hobart,-42.88,289.33,36,0,7.7
Margate,-43.03,289.33,36,0,8.2
Golubitskaya,45.32,279.92,81,0,1.0
Santa Ana,30.54,295.59,46,100,1.1
Uvira,-3.41,284.59,94,47,1.49
Santana do Livramento,-30.89,291.45,92,52,5.06
Carnarvon,-30.97,288.53,48,98,2.46
Faanui,-16.48,299.46,80,100,7.52
Touros,-5.2,297.15,88,20,2.1
Kota Kinabalu,5.98,303.15,74,75,3.1
Macouria,5.01,300.15,83,14,2.6
Bull Savanna,17.89,294.79,93,3,0.77
Lar,27.66,285.15,81,0,1.84
Constitucion,23.99,291.15,59,40,2.1
Puerto Ayora,-0.74,294.26,89,8,3.58
Busselton,-33.64,297.79,55,29,0.89
Hilo,19.71,295.63,74,90,2.6
Rikitea,-23.12,296.26,76,100,5.86
Henties Bay,-22.12,287.04,94,0,0.89
Khatanga,71.98,254.79,96,100,7.15
Harwich,41.69,275.09,60,75,2.6
Haines Junction,60.75,254.0,96,0,2.72
Chuy,-33.69,289.74,86,32,4.57
Ribeira Grande,38.52,289.78,86,31,1.88
Guaymas,27.92,299.43,54,75,2.53
Myingyan,21.46,299.15,94,75,1.0
Mataura,-46.19,283.71,88,83,2.68
Tuy Hoa,13.08,295.7,91,100,15.16
Syracuse,43.05,274.59,73,90,4.1
Hermanus,-34.42,288.95,95,55,4.02
Husavik,50.56,263.71,74,94,7.15
Mar del Plata,-46.43,281.92,68,97,7.47
Morondava,-20.3,297.19,62,3,1.28
Porto Novo,-23.68,295.15,83,40,2.6
Fuerte Olimpo,-21.04,300.61,61,19,1.59
Cape Town,-33.93,289.31,87,59,4.1
Pisco,-13.71,291.02,77,31,4.6
Riohacha,11.54,299.28,83,100,2.34
Yerbogachen,61.28,252.79,91,100,5.41
Ulaangom,49.98,272.78,92,100,2.94
Grand-Lahou,5.24,300.73,77,0,3.68
San Patricio,-26.98,294.4,96,100,1.95
Bontang,0.12,303.04,65,12,2.39
Arraial do Cabo,-22.97,296.18,94,100,6.63
Invermere,50.51,274.82,83,100,1.22
